title,nose,taste,finish,score
"""La Vieille Prune Reserve L.O.R."" Plum Brandy 4 year, 42%","Strong distinct nose, bright sweet Plum, sharp and mildly tart, green apple, nose-numbing ester, candy caramel, sweet and sharp and happy","Richer and warmer flavor emerges on the palate, but still very sweet. Thick caramel, big rich Plum super bold and bright, tart green apple, that sharp ester flavor, sweet wood, sugary frosting. It's minimal wood influence, mostly a balanced caramel richness. This is all about the rich and sugary fruit","Bright sugary sweet plum, candy caramel, estery funk, long and sweet and rich",7
"Glenfiddich 1997 23 year K&L Hepburn's choice, sherry finish 53.8%","Malty and thick, cereal malt, rich honey, floral notes, caramel, light sherry sweetness, light raisin and berry, green apple. Inoffensive and pleasant","Thick honey and cereal malt, rich caramel, light fruity and sweet sherry, strawberry and floral notes, cake frosting. Textbook sherry finish, it's thick and malty with a light sweet sherry influence. Rich and meaty mouthfeel.","Warm peppery spice, thick honey malt and sweet syrupy sherry that slowly rides out thick and rich",7
"Domaine Seailles 1979 41 year, 46%","Smells about as dark and tannic as you would expect from the color. Darkly charred and tannic wood, dark syrupy tart grape, blackberry, burnt black cherry, menthol, bitter chocolate, soy sauce, heavy vanilla. Dark, complex, and densely packed. Oh yeah this is age all right","Dark, dry, and bitter wood. Charred and darkly toasted, bitter chocolate, soy sauce. Subtle darkly burnt grape syrup slowly emerges from all the dark tannic wood, burnt blackberry, leather, bitter burnt brown sugar, wood spice, vanilla. Flavor is so dark and densely packed, it's just impossible. You are pretty much just sucking on dark charred wood with subtle fruitiness","Sweeter fruity grape finally shines a little brighter on the finish with burnt woody mint, sweet vanilla, tobacco, dark bitter char. More sweetness on the finish than anywhere else but still kind of dry",7
"Domaine Seailles 1986 34 year, 46%","Rich caramel and grape, floral, butterscotch, caramel toasted wood, dry woody tannin, warm spice. Very nice and smooth, a bit too light. Not super woody at all for the age","After the richer nose this is much more dry on the palate. Dry and lightly woody, smooth caramel oak, understated grape and berry, butterscotch, sweet floral spice, clean woodiness. It's a bit light and overly dry for my tastes, but nothing bad. Nice light flavor, smooth sweet wood and understated fruit","Some richer fruits emerge of grape, zingy black cherry, blackberry, with light caramel and dry wood.",6
"Domaine Seailles 2000 20 year, 46%","Dark and oaky, tobacco, cherry cough syrup, grape, chocolate, dark toasted wood, lightly tannic, vanilla, mellow wood spice. Darker and oakier than the 20 year blend, very nice and stays approachable.","Smooth, dark, and sweet. Dark burnt grape, blackberry, menthol spice, cherry syrup, caramel, smooth dark toasted wood, mildly tobacco and tannic, sweet vanilla. It's quite dark and oaky but pulls it off in a mellow and approachable way. Still tons of dark sweetness, never gets too bitter. Really tasty stuff","Sweet caramel and vanilla, dark and oaky, light grape and menthol spice. Bit of a thin finish but it's good. Sweet and dark",7
"Staoisha (heavily peated Bunnahabhain) 2013 6 year, The Ultimate 63.7%","Epically huge peat, clean and charred, ocean brine, lemon, sweet and lightly floral, buttery wood, vanilla, barrel char. Huge oceany briny peat, it's clean and intense and sweet","Enormous peat, crisp clean and thick. Huge briny peat, sweet caramel, lemon zest, vanilla, crisp biting peat, sweet buttery wood, clean sweet char. The peat builds to epic heights, it's intense but still feels very clean and focused with sweet buttery wood notes. A proper Islay peat monster","Huge sweet peat, vanilla icing, salted caramel, peppery heat and fierce biting peat. Sweet and intensely peaty finish. Clean sharp peat lingers a long time",8
"Cassou 1992 26 year L'Encantada, 45.1%","Bold sweet fruits and creamy caramel, beautiful. Big fruity and sweet grape, plum, thick creamy caramel and wood, vanilla, candy cherry, sweet toasted wood.","Bold tart grape and sweet toasted wood, syrupy black cherry, sweet creamy caramel, clean toasted oak, mild tobacco, gentle wood spice, sweet vanilla. Creamy and syrupy sweet. Amazing how the oak can be so heavy and complex but still stays so clean and balanced with the big fruity flavor.","Cool gentle spice and black cherry pops brightly, dark creamy caramel, sweet toasted wood, candy cherry and grape, vanilla. Sweet and complex finish, beautiful",8
"Widow Jane 12, Hoppy Endings pick 49.5%","Really nice and woody. Friendly dark toasted oak, chocolatey and toasted, mint char, vanilla, woody caramel, candied black cherry. Lots of dark toasted wood in a very friendly and inviting way","Mellow and woody. Mellow clean toasted oak, lots of sweet caramel, smooth chocolate, warm sweet mint and cherry, vanilla. Lots of clean toasted oak and caramel. I love this kind of sweet and woody profile. Like an approachable oak bomb. For the proof it drinks light, but it's super sippable and smooth","Lots of sweet toasted wood and caramel, mild sweet spice and minty char",7
"Barrell Canada Rye 13 year, 63.48%","Big blast of clove and allspice, cinnamon, really cleans out the nose. graham cracker, sharp metallic twang, big rye spice, clove and anise that almost burns. It's very sharp and cutting and lively, makes you feel alive","Wow, huge blast of sharp intense flavor. Huge zingy cinnamon and clove explodes on the palate, metallic copper twang, sharp and spicy, graham cracker, stark Rye grain. So lively and action packed in a sharp and buzzing way. I really dig it","Zingy clove and cinnamon Rye spice that buzzes and whirs on the palate a long time, sweet Rye grain. Not overly hot, but tons of spicy and complex crazy Rye action",8
"Adrien Camut 12 year Calvados, 41%","Huge juicy red apple, deep and rich, applesauce and brown sugar, rich musty wood, more complex fruits of sweet berries and pear, toffee, light toasted char.","Bold and bright red apple, super dense and rich with flavor. All kinds of complex and rich apple flavor like juicy red apple, applesauce, rich stewed apples. It's not overwhelming at all though, it's mellowed and intertwined beautifully with smooth rich woodiness, thick mellow toffee, brown sugar. So thick and juicy","Crisp and clean red apple, bright almost, and then a little bit more of a tart green flavor coming through with tons of sweet brown sugar",8
"Pellehaut 1989 31 year, 49.9%","Fruity sweet and very balanced, candy cherry, smooth sweet grape, thick gentle spice, clove, cherry wood, coffee, smooth dark oak. Very straightforward and even keeled Armagnac nose, smooth and rich","Straightforward tasty yak, but the flavor is a bit washed out and hot. Warm smooth grape and candy cherry, lightly toasted oak, hot zingy spice, caramel oak, vanilla. Flavor is balanced and tasty but light for the ABV, and it's a bit hot for how light the flavor is.","Simple finish of syrupy sweet grape and caramel, bit of spice. Tasty and straightforward",7
"Highland Park 11 year ""North Star"" The Whisky Barrel exclusive, PX finish 63.7%","Thick, brooding, and rich. Dark gritty sherry, blackberry, rich toffee, thick toasted cherry wood, deep brooding spice, chocolate fudge, vanilla.","Thick flavor. Big rich caramel and chocolate, cherry and dark wood, big spice, smooth dark sherry, thick malt and dark sweet caramel. Rich and fudgy with lots of spice and a sweet edge","Huge toffee and fudgy chocolate, dark spice and sherry, black cherry. A huge epic finish, sludgy and rich",8
"Balvenie 1991 28 year, K&L Hepburn's Choice","Lightly rich and sweet. Butterscotch, sugary barley, clean grassy malt, hay, caramel, warm green apple. Very clean and creamy sugary malt. A pleasure to nose","Sweet creamy caramel, werthers candy, sugary pastry, beautiful clean & shiny grassy malt, sweet vanilla, rich pear, very mild florals. The flavors and complexity are just beautiful here. The low ABV keeps it from being this thick rich punch of flavor. Instead, it's has a lightly sweet and delicate mouthfeel but the notes are so clean and precise. Delicious and fun","Sweet creamy caramel, easy grassy malt, lingering richer butterscotch wood and even a hint of barrel char. Sweet and malty and delicious",8
"Dailuaine 1998 22 year, K&L Old Malt Cask, refill hogshead 55.9%","Soft, mellow, and malty. Crisp sweet honey, light caramel, rich velvety soft grassy malt, apple pie, soft wood, sweet pastry. Grassy malt that has been softened and well rounded with age","Rich and malty in soft  and balnced way. Thick honey and caramel, sweet pastry, soft grassy malt, oily and malty mouthfeel, light floral honey and green apple. The notes are all kind of delicate but combine into a thick and oily mouthfeel. It just feels so aged and balanced","Sweet floral notes and bright fruits pop on the palate, honey and vanilla icing, clean malt. Delicious sweet and malty rich finish but a bit too short",7
"Craigellachie 2003 16 year, K&L Old Particular, 56.3%","Rich caramel and thick sulfury malt, dry nutty sherry, chocolate, coffee, tropical fruits, prune, smooth toasted woodiness, slight fruity & woody bitterness that works well. Not super sweet, but very thick and enjoyable","Woody caramel, chocolate, thick and robust sulfury malt, dark sweet prune and red fruits, nutty sherry, mellow spice blast. Not super sweet in a fruity or wine way. Lots of caramel sweetness and malt, with a warm blanket of chocolatey wood and mellow dark fruits. Subdued, but thick and rich. Really nice stuff","Sweet dark caramel, warm fruits and spice build big, sweeter cherry and tropical fruits, vanilla and chocolatey wood. Lingering sweet spice. Complex and rich sweet finish",7
"Elijah Craig Small Batch, Champagne's barrel pick (done blind)","There's sweet warm berry fruitiness, mild warming spice, earthiness and musty wood, smooth milk chocolate, vanilla. It's thick but toned down and muted.","Mellow and soft, but doesn't feel too watered down or low abv. Velvety mouthfeel of soft warm berry fruits, mildly bitter cacao, sweet vanilla, milk chocolate. Light and sweet and balanced, it's yummy.","Vanilla and light candy-sweet berry, milk chocolate. Sweet and very pleasant",7
"Dalmore 2007 13, K&L Hepburn's Choice, 53.6%","Sweet barley malt, sweet spirity funk, lemon citrus, fruity apple, light vanilla, brine funk. Typical spirity and sweet malty refill barrel, nothing too special but not bad","Sweet and fruity, light vanilla, pop of sugary Barley maltiness, gentle caramel, mild ethanol and spice heat, dessert pastry, sweetly floral. Like the nose it delivers a very typical youngish malty refill barrel experience. But it's very well done, a little richer and sweeter and more flavorful than this style can often be. Lots of Barley maltiness and fruity/floral spirit. Sweet and light and crisp","Gritty caramel and spice heat, honey, dessert pastry and barley sugar. Nice sweet malty finish that is maybe just slightly rough around the edges",7
"Glengoyne 2008 11 year, K&L Old Particular PX finish, 56.3%","Oh my it's a funky nose. Unpleasant sour funk, smells a lot like Baiju. Then there's floral honey, light caramel and malt, delicate orchard fruits, warm gentle wine. Nice fruity Scotch notes but they just can't overcome that awful sourness.","Sadly the taste is quite sour too. What is going on here. Strong Baiju-like sourness, then sweet fruity sherry slowly opens up. It's a nice delicate sherry flavor. With rich honey, rich fruity malt, light pastry, sweet delicate & warm plum fruit, sour grapes. There's some nice Scotchy flavor here and sweet delicate sherry but the sour Baiju note is too strong.","Much more pleasant on the finish finally, the floral and fruity malt notes come out with nice rich honey malt, spice, balanced and sweet.",5
"Ledaig 1997 23 year, K&L Old Malt Cask hogshead, 59%","Rich floral peat, toffee, chocolate, fresh mint, toasted wood, spices, mellow tobacco, sweet vanilla, nice smokiness. Beautiful complex smoky nose. The smoke is rich but it's evenly balanced and gentle with lots of nice chocolatey and floral notes","Very nice mouthfeel, rich and complex. Rich caramel and clean toasted wood, lots of milk chocolate, balanced smoke, creamy vanilla and fruits. Chocolatey and sweet with gentle smoke, very balanced and complex. Not a peat bomb at all, age has definitely tamed the smoke. But it integrates very well with the sweet barrel notes, whole thing is friendly and drinkable","Sweet vanilla and brighter berry fruits, gentle chocolatey smoke, light menthol char. Sweet delicious finish",8
"Del Cassou 1987 30 year L'Encantada, 49.1%","Luxurious caramel, creamy butterscotch, smooth sweet grape and cherry, sweet buttery rich toasted wood, vanilla, orange cream. Smooth and creamy and thick, fucking great","Bright orange caramel, sweet pop of cherry and smooth happy grape, very mild tartness, thick rich caramel builds big, vanilla dessert cream, creamy butterscotch, clean lightly toasted wood. So sweet, but it's well balanced sweet creamy wood notes and smooth sweet fruits. Not overly sweet in a wine-y or sugary way, still thick and rich. Wood is mild, more butterscotch and caramel and vanilla than anything woody or tannic. Just amazing","The sweet happy grape gets brighter and a little more tart, bright caramel and creamy wood",9
"WhistlePig Single Barrel ""K&L Swine Merchants #20212"" 17.5 year, 56.25%","Caramel, green apple, sugary vanilla and pastry, cinnamon, thick clean Rye grain, mint, gentle herbs, mellow sweet caramel wood. Very clean and sharp, delicious Rye nose.","Big blast of cinnamon and delicious spice with big Rye flavor, hot cherry, caramel, bready dessert pastry, clean sweet wood, brash sweet spice. Delicious Rye spice kick, grain forward Rye flavor with fantastic complexity and balance.","Long finish of cinnamon spice and sweet breadiness, caramel, sweet wood, clean and sharp Rye grain",8
"WhistlePig Single Barrel ""K&L Swine Merchants #20209"" 17.5 year, 56%","Sweet Rye grain, sugary wafer, butterscotch, floral and herbal, thick Rye, mint, sweet caramel and wood. Grain forward, sweet spirity Rye","Hot spice and cherry, sweet woody caramel, light butterscotch, big brash Rye spice, herbal zing, brown sugar, floral and sweet Rye grain. It's lively and spicy and sweet, very complex and delicious flavor","Big blast of delicious Rye and brash spice, herbal and a little metallic, sweet hot cherry and brown sugar",8
"WhistlePig Single Barrel ""K&L Swine Merchants #20201"" 17.5 year, 56.25%","Caramel and thick clean Rye, mint, toffee, rich mellow Rye spice, funky herbs, sweet wood. Big clean minty Rye character, mellow and cool","Caramel, thick minty Rye builds huge, toffee, thick mellow Rye spice, sweet toasted wood, cherry, gritty graham cracker richness. Thick and robust Rye grain, nice full mouthfeel that is creamy and balanced with lots of sweet caramel wood notes.","Big Rye finish. Sweet cherry and caramel, thick minty Rye, very long sweet and heavy Rye finish with lingering gentle rye spice.",9
"WhistlePig Single Barrel ""K&L Swine Merchants #20200"" 17.5 year, 56.55%","Clean Rye grain with herbs and dill, strong and sharp but mellow. Butterscotch, sweet balanced wood, graham cracker, big minty Rye spice, bright crisp green apple fruitiness. Rich and balanced and grain forward, big Rye nose.","Bright clean Rye, crisp and sweet green apple, peppery spice, sweet caramel wood, butterscotch, sweet dessert vanilla. Sweet and crisp and mildly brash, all comes together in a big balanced way. Just delicious","Big delicious kick of sweet spice-y Rye, black cherry, zingy spice, sweet grain. A long sweet spicy Rye finish",8
"SMWS A5.1 ""Fruit Shop Raid,"" Laubade 1989 61.3%","Big sticky sweet caramel, green apple, cherry, subtle grape, menthol spice. A lot of luscious caramel and cool menthol spice with mellow inviting fruit. Some water really brings out a fresh and pleasant fruitiness of grape and pear","Wow it's hot lol. Hot cherry and spice, cinnamon red hots, sweet caramel. There's some grape hiding behind all the spice and hot sweetness, but it's mostly very spicy and Bourbon-y. Not surprising at the abv I guess. After adding some water, it helps this a lot. Brings the heat and spice way down, creates a balanced kind of sweet caramel and pleasant fruitiness with a more friendly cinnamon spice kick.","Spice builds huge and hot, cinnamon, hot minty spice, cherry cough syrup, grape, clove. It clears out your sinus in a sweet holiday spice kind of way. With water it's still a very spice-y finish but it stays mellow and balanced with the fruits",7
"Russell's Reserve Single Barrel, Ace Spirts pick 55%","Stale funky wood, mild green apple and fruitiness, caramel, corn, vanilla, sweet bakery and wood notes. Light and sweet, with an unappealing stale note that's almost sour","Sweet toasted wood and spice, funky corn, green apple, light caramel, sweet wood spice. It's light and sweet, almost spirity even. Better than the nose luckily, but still a bit uneventful overall. The sweet notes work well but the caramel and wood which is usually a rich delicious part of these just feels washed out","Hot spice, sweet corn and light caramel. lingering sweet light wood",5
"Grosperrin 1996 afish pick, 53.1%","Smooth grape, velvety thick chocolate, leather, coffee, mellow tart berry, rich smooth oak, toasted biscotti, fruity coffee. Thick chocolatey and toasted nose with rich mellow fruit","Rich chocolate, leather, toasty toasty toasted wood, mild tobacco, a core of smooth warm grape fruitiness, vanilla, dark chocolatey oak, coffee. It's chocolatey and oaky, mildly tannic but it's just enough to be interesting while staying friendly. It's like chocolate covered raisins and coffee aged in toasted wood","The sweet mellow fruits brighten up with grape and dark tart berry, rich milk chocolate, mild tannic bite, gentle wood spice, vanilla. Sweet and mellow wood finish",8
"Pouchegu 1981 39 year ""Rare Armagnac Collection,"" 53.7%","Deep dark chocolatey fruits, raisin and smooth dark plum, black cherry syrup, bitter chocolate, vanilla, tons of smooth darkly toasted wood, a strong mellow undercurrent of anise spice. It's mega dark and dense, but all balances together elegantly and smoothly","Really nice mouthfeel. Not a big blast of flavor, it's rich and silky smooth with dense dark flavor that slooowly unfolds and builds. Strawberry and grape sweetness enveloped in milk chocolate, dark smooth toasted wood, vanilla. It has a silky smooth darkness. Not the most complex stuff but it's dense with flavor and very elegant. If anything it drinks light despite the proof.","Finish is darkly bright if that makes sense. Builds to a sweet blast of tart grape and chocolate, smooths out into rich dark chocolatey wood, vanilla, vague fruity warmth and mellow spice.",8
"New Riff Bourbon single barrel, 55.85%","Rich delicious toasted oak, graham cracker, vanilla, smooth sweet corn, orange bitters, chocolate, balanced spice. Great nose, rich and balanced and Bourbon-y.","Big sweet Bourbon corn, balanced spice kick, caramel, zingy orange, rich clean toasted wood, vanilla. This is really nice, hits all the classic Bourbon notes. Leans brash and corny but stays very well balanced with great flavor and great toasted oakiness","Spice, sweet brash corn, metallic caramel, sweet wood. Sweet spicy finish, short but not bad at all",7
"Talisker 15, 2019 Special Release 57.3%","Rich and chocolatey, robust malt, salted caramel, clean powerful smoke, tons of briney maritime notes, toffee, rich chocolatey toasted oak, vanilla, smoky menthol char. Quintessential Talisker but on steroids, exceptional nose","Sweet salted caramel and smooth powerful smoke, big sweet vanilla, robust gritty malt, chocolatey toasted oak, tons of sharp brine, toffee and sweet charred barrel notes. Very sweet, big rich flavor, complex and delicious. Like the nose it's quintessential Talisker amped up to cask strength","Big flavorful finish of sweet chocolatey smoke, huge sharp brine, sweet menthol char and vanilla, some friendly peppery spice. Sweet smoke and vanilla linger a long time",8
"New Riff ""Maltster"" Wheated Bourbon BIB, 50%","Toffee, cinnamon, bready toasted malt, creamy caramel, dark charred oak, brash corn, minty undercurrent","Sweet creamy caramel, bready malt, vanilla, hot cherry, dark toasted wood, hot blast of flavor with brash corn, cinnamon and spice","Sweet dessert notes, cherry, caramel toasted wood, blast of hot spice",6
"Barrell Rye (MGP) 7 year single barrel 58.04%, Wine & Whiskey Cellars","Hot minty rye and cinnamon spice, mild dill, caramel, stale toasted wood, brash wood notes, herbal. It's a decent spicy rye nose but kind of uneventful with some funky wood notes","Cinnamon spice, toffee, brash stale toasted wood, hot zingy spice and cherry, caramel. Mint and rye spice builds big and hot, it's hot and brash. Fierce spicy rye flavor which always scores extra points with me but it's a little too hot and unbalanced.","Big minty and peppery rye spice, hot cinnamon, funky wood. Hot, brash, and spicy Rye finish",6
"Fettercairn 2006 12 year ""The Ultimate,"" Bourbon barrel 54.1%","Floral and fruity and malty. Light floral perfume, grassy malt, sweet cereal, sweet vanilla and sugary frosting, mild wood funk, vibrant tropical fruit. It's a light grassy malt but lots of vibrant floral and fruity notes, very cohesive and sweet.","Sweet barley, vanilla, rich tropical fruit, big floral notes, ripe sugary pineapple, pear, rich cake. It has a very rich and fruity sweetness to it, it's a lighter flavor profile but densely packed and rich. Fun and fruity and malty. It reminds me of The Laddie a bit, has that same fun fruity malt with just a bit of that lactic note minus the wine funk.","Bright zingy floral notes, smooth tropical fruits and malt, some spice",7
"New Riff ""Balboa Rye"" Bottled in Bond, 50%","Very promising nose. Clean and rich with big Rye character. Toasted wood, big crisp menthol and evergreen, clean sharp rye, green apple, dill, toffee, earthy tobacco, easy peppery spice","Nice thick mouthfeel with big beautiful Rye flavor. A bit hot at first. Thick caramel, toasted wood, syrupy cherry, sharp evergreen and clean rye spice that really jumps out, peppery heat hits big, sweet herbal rye. Sweet and spicy and hot, great Rye experience overall","Big herbal and minty rye flavor, sharp and clean, spice, sweet toasted wood and hot cherry menthol. Delicious menthol rye flavor lingers for a long time",7
"Jouanda 1998 21 year cask #312, 45%","Rich elegant wood, dark toasted oak, sticky sweet caramel, prunes, plum, rich grape, chocolate, warm tingly spice. Delicious nose, oaky but stays warm and balanced with the dark fruits","Smooth sweet grape, ripe plum, bright cherry and grape, delicious and beautiful vanilla, sweet caramel, dry oak notes, rich smooth toasted wood, light chocolate. Elegant and velvety smooth mouthfeel. It's a bit dry but the fruits are so rich and complex so it doesn't feel too muted. Beautifully elegant and cohesive","The tart grape builds brighter and sweeter with lots of rich and sweet fruit notes, dark plum, sweet happy cherry, sweet wood notes, vanilla, some pleasant spice",8
"Cardinat 1998 21 year, 49.5%","Toasted oak, lots of musty wood, bubblegum sweetness, tart grape and berries, smooth dark tannins, coffee and chocolate","Tart syrupy grape, dark cherry, chocolate, tobacco, toasted oak, vanilla, burnt caramel. Dark oak notes that are dry and mellow, fruits are subdued. It's a bit dry and overly smooth in the mouthfeel. Nice mellow toasted woodiness","Sweet dark cherry syrup, vanilla, smooth dark oak, some bitter wood and spice",7
"Jouanda 1992 27 year cask #262, 40%","Rich caramel and honey, floral notes, graham cracker, orange, bright sugary fruits, smooth warm grape, sweet vanilla, toasted wood. Floral and fruity in an upbeat way, with just enough honey and caramel richness. Complex and pleasant","Surprisingly rich at 40%. Rich caramel, honey, sugary wafer, vanilla icing, floral sweetness, orchard fruits, tart berry, sweet bright grape, clean lightly toasted wood. Pleasant and sweet and upbeat. Lots of sweet delicate fruits and floral notes, with enough caramel toasted oak notes to give it a richer backbone. Oak is clean and unobtrusive though. Very complex and sweet and rich with a velvety mouthfeel.",,8
"Laphroaig Cairdeas 2020 Port and Wine casks, 52%","Big medicinal Laphroaig peat, charred vanilla, milk chocolate, candy-sweet soft red wine notes, strawberry, cherry, menthol spice and sweet barrel char. Delicious nose, it's sweet but not a heavy wine dose at all.","Sweet tart cherry, caramel, big beautiful medicianl Laphroaig peat, creamy milk chocolate, strawberry candy, rich vanilla, menthol, sweet barrel char. Plenty of big medicinal peat & char but it's been softened with a nice chocolatey richness and red wine influence that gives a balanced candy sweetness.","Sweet vanilla, big lingering menthol char, Laphroaig medicinal peat and sweet candy cherry. Long sweet peaty finish",8
"Cardinat 1988 31 year, 47%","Rich fudgy chocolate, dark tannic wood, black cherry, coffee, caramel, thick sludgy fruits, overripe cherry, dark tart fruitiness, vanilla. Dark and tannic with thick sludgy fruits","Sweet mellow fruits, big dry tannic wood, very dark/woody but drinkable at the abv, black cherry, mellow tart grape, chocolatey wood, leather, smooth tannic wood, menthol, sweet vanilla. It's very approachable at the abv despite all the heavy wood and dark notes, maybe even a bit too light but still delicious","A big finish, pleasantly sweet. Dark deeply toasted wood, dry and sweet, caramel, lightly building spice, sweeter fruits of dark syrupy cherry, chocolate, sweet vanilla",7
"Ballechin 11 2005 ""The Ultimate,"" Bourbon barrel 56.2%","Huge clean Islay-style peat, rich sweet caramel, lemon, sugar pastry, thick vanilla, sweet barrel char. The peat is huge on this but it's so clean and sweet and bright. Very ""happy"" nose for such a peat monster","Intense peat but with very crisp and clean sweet mouthfeel. Huge clean medicinal peat, excellent gritty vanilla char, caramel, sweet vanilla and pastry, pop of lemon, barrel char. Thick and creamy pastry sweetness with huge clean peat","Vanilla icing and pastry, clean peat and vanilla builds huge. Lingers pastry-sweet and peaty",8
"Craigellachie 18 1994 Cadenheads, 54.4%","Caramel, tannic wood, thick gritty malt, smooth fruitiness that is dry and earthy-sweet, dry sulphury wine . Really nice but kind of closed.","Tannic wood, sulphury dry fruits, dark caramel, earthy sweetness, thick malt, clove. Mild and dry fruitiness of dark strawberry and raisins. Lots of nice dark and tannic earthy flavor, but it feels a little too dry and closed like it's missing something.","Sweeter on the finish with dark strawberry, tannic wood, spice, caramel",7
"Lous Pibous 1995 ""Hail Yak"" L'Encantada, 56.1%","Creamy caramel and orange, sweet candy fruits, milk chocolate, big sweet and balanced toasted wood, vanilla, sweet mildly tart grape and cherry, mellow menthol spice. So blissfully pleasant and creamy sweet","Sweet creamy caramel, toasted wood, builds with big bold spice and hot zingy cherry, orange cream, sweet candy fruits, charred vanilla and delicious sweet wood notes. Like the nose it's pleasant and creamy sweet, but with a bigger dose of bold Bourbon-like spice","Brash spice and charred wood, sweet fruits and bitter orange. Leaves with a lingering spice tingle",9
"New Riff Rye, K&L single barrel 55.35%","Nose is promising. Nice thick Rye spice, cinnamon, hot menthol, burnt caramel, cacoa, clean toasted wood, hot cherry. Lacking complexity but it's a nice strong Rye nose","Tannic oak, cacao, woody caramel, big hot spice blast, brash Rye spice. Hot and brash, and kind of closed. Unfortunate after the nice nose. A drop of water calms it down, but makes it a little boring. It holds onto that nice pervasive Rye spice with vague wood and caramel notes, some creamy woody sweetness. Kinda nice with water","Tons of spice, hot menthol, brash wood. Finish is nicer after adding some water. Sweet woody caramel, clean thick Rye spice",6
"Chateau du Tariquet 15, 47.2%","Rich elegant fruits, sweet caramel, soft grape, sweet tartness, some bright citrus, cherry, floral, sweet toasted wood, smooth oak, vanilla","Sweet fruits that are elegant and smooth, mildly tart grape, caramel, cherry, beautiful floral notes, smooth toasted wood, sweet vanilla, mellow spice. Flavor flows effortlessly with an easy richness and complexity","Toasted wood, tobacco, soft sweet char, cherry, warm smooth fruits. Long sweet finish",8
"Hazelburn 14yr 2005 rum barrel, 52.6%","Caramel, crisp and clean and sweet, briny, earthy barley, green apple, thick bready malt, creamy sweetness. Super thick and malty, Scotchy","Big sweet barley, thick malty body, salted caramel, huge creamy sweetness, vanilla pastry. Thick and malty with a nice briny funk and balanced creamy sweetness. Great viscous mouthfeel","Big sugary blast, sweet barley, clean vanilla char, light spice. Rides out sweet and malty and lightly charred",8
"Glenlivet 12yr 2007 The Ultimate, 1st fill sherry 64.8%","Burnt woody toffee, big darkly toasted oak, smoky char, tobacco, mellow wood spice, mint, subtle dark fruit undercurrent. Wait, is this a Bourbon or a sherried Scotch?","It's hot! Mellow dark fruits, big spice blast, chocolate, rich toasted wood, dark burnt caramel, burnt woody sweetness. Comes at you in a big hot zing, fun but the flavor is lacking a bit.","Spice builds huge with mellow fruits, sweet caramel, mint. Nice long finish, brash sweet & spicy wood finish with some understated fruit sweetness",6
"Benrinnes 14yr 2004 The Ultimate, 57.8%","buttery malt, big bright floral notes, spirity funk, green apple, light sweet pastry & gentle vanilla. Sharp and floral and spirity, with nice malty sweetness","Sweet buttery malt, barley sugar, lots of spirity new make funk, bright and floral, fruity apple, bright sweet malt, rich pastry","Gets a tad richer on the finish which is nice, light caramel, thick rich malt, sweet pastry and spice",6
"Larceny Barrel Proof batch A120, 61.6%","Caramel, cinnamon spice, sweet cherry and hot spice, brash wood, darkly toasted, chocolate. Brash, very straight-forward and hot and Bourbony","Big sweet cherry and hot spice, thick caramel, bold cinnamon, dark toasted wood, chocolate. Interesting play between the sweet fruitiness and dark toasted notes, but it's so hot and brash. Water dulls it all down a bit and more sweet cherry fruits come through, makes it too boring though","Big brash spice, creamy caramel, sweet candy cherry. Simple but tasty finish",6
Old Forester 1910,"Brown sugar, chocolatey toasted wood, vanilla, mocha, tart berry, sweet char. It's mellow and smooth with lots of dark sweet barrel notes, yummy","Sweet, dark, and smooth. Dark caramel toasted wood, chocolate, tart burnt grape, leather, sweet vanilla","Smooth darkly toasted wood, caramel and sweet vanilla char",7
"Hochstadter's Rye 16, 61.9%","Gorgeous. Butterscotch, huge cool mint, deep mellow Rye spice, toffee, bitter orange, big warm deeply toasted oak, sweet char, herbal. Incredibly big and thick but elegant, the notes are deep and meld together beautifully","Hot cherry spice, cinnamon, sweet sticky toffee, big bold Rye spice, fruity, brash toasted wood. It's hot and fiery, not super oaky at all which is a surprise. A little water mellows it a bit, brings out more fruitiness, orange, big warm spice, sticky sweet butterscotch flavors. Fun and complex","big bold Rye spice, hot cherry, orange and herbal spice, sweet caramel. The hot fiery Rye simmers and burns a long time, even after adding some water",8
"Glen Spey 9yr 2010 The Ultimate, 1st fill hogshead 60.9%","Butterscotch, toffee toasted wood, nuttiness, thick malt, caramelized sugar, vanilla icing, apple, menthol spice. Smooth rich wood and thick malt. A little water solidifies it all into a creamy, woody, caramel malt","Huge flavor, pretty hot which isn't a surprise given the abv. Hot cherry, butterscotch, caramel and rich toasted wood, clean thick malt, hot spice, darker tannic toffee and char. Water doesn't change it too much, but melds all the flavor together really nicely. Has a thick creamy feel which is neat with all the dark caramel woodiness, but still hangs on to that spice heat","Big finish. Big spice, menthol, hot cherry, tannic wood notes, fruity apple, rich toffee and sweet char. Lively and hot but it's interesting with some delicious flavor beyond the heat",7
"Glen Spey 8yr 2010 The Ultimate, 1st fill hogshead 58.2%","Rich barrel influence and malt, nice thick nose. Toffee, butterscotch, vanilla, thick caramel malt, chocolatey toasted oak, mild tobacco and wood spice","Dry woodiness, big sweet malt, caramel, smooth chocolate, vanilla, sweet barley sugar. Rich and woody and creamy with big sweet malt notes. A bit too dry maybe, and there's some tannic notes and tobacco but they stay mild","Big spice blast with caramel, creamy vanilla and sweet malt, fruits. The spice and sweet wood/malt makes for a dramatic and lively finish",7
